 ,Area,Mean,Min,Max
883,149,544.651,462,638
884,155,527.045,470,612
885,108,528.565,445,643
886,185,533.016,451,652
887,29,542.207,508,582
888,225,524.236,461,600
889,537,539.024,452,706
890,1347,552.912,455,963
891,1866,601.592,445,1133
892,140,535.779,462,646
893,94,517.670,474,578
894,75,541.133,458,701
895,142,546.549,447,646
896,371,534.876,445,720
897,1117,594.661,445,1047
898,143,533.510,460,619
899,68,525.118,453,614
900,203,626.246,456,907
901,57,536.807,479,651
902,49,557.122,454,645
903,57,522.211,473,567
904,40,541.150,442,629
905,24,533.875,488,577
906,93,549.258,459,648
907,220,531.836,472,620
908,389,561.638,437,796
909,267,544.693,436,667
910,607,615.868,447,892
911,10,520.800,488,544
912,13,535.923,515,566
913,751,555.988,445,772
914,509,535.342,442,699
915,24,538.167,484,579
916,73,533.589,450,656
917,10,551.400,516,576
918,228,526.105,442,626
919,209,546.861,458,808
920,1544,569.996,449,804
921,149,541.564,459,685
922,60,538.900,478,594
923,524,563.788,449,1104
924,971,536.164,458,704
925,105,530.010,455,672
926,611,550.421,447,685
927,1664,619.263,445,1055
928,16,516.938,499,543
929,588,632.039,455,852
930,6,534.167,512,562
931,208,537.038,459,643
932,156,538.500,455,646
933,365,582.425,454,773
934,9,523.444,486,570
935,351,535.074,450,677
936,358,543.754,443,690
937,127,532.969,460,616
938,143,561.657,440,1040
939,97,553.495,448,671
940,264,545.943,464,652
941,177,547.328,460,741
942,38,527.579,500,566
943,139,520.619,459,622
944,150,544.040,447,698
945,127,531.787,470,604
946,3,553.000,540,576
947,178,541.798,473,648
948,137,560.964,447,708
949,33,534.970,468,844
950,1,496.000,496,496
951,31,522.613,478,555
952,31,525.032,493,575
953,50,732.160,667,805
954,53,739.792,611,861
955,93,813.860,624,1031
956,18,787.778,716,898
957,129,731.969,587,960
958,91,731.308,594,879
959,144,789.188,584,1054
960,125,807.232,597,1105
961,348,788.578,560,1167
962,1422,809.456,586,1393
963,799,1032.762,592,2177
964,39,833.615,691,986
965,61,731.590,647,835
966,2,739.500,732,747
967,115,828.626,592,1294
968,116,730.638,647,828
969,98,755.153,638,904
970,92,764.457,630,970
971,115,779.391,584,1121
972,1788,1090.954,581,2443
973,193,772.591,612,1009
974,607,783.280,600,1200
975,74,744.054,602,884
976,9,742.667,708,773
977,122,780.262,580,1067
978,74,810.378,616,1011
979,122,848.279,560,1279
980,79,767.468,635,914
981,104,823.990,609,1108
982,78,728.538,634,856
983,271,788.697,574,1053
984,534,961.088,594,1981
985,55,707.164,660,767
986,52,763.942,590,1027
987,35,731.743,635,798
988,87,750.034,605,987
989,778,768.330,569,1196
990,11,723.182,702,749
991,93,756.828,610,1024
992,988,913.184,602,2187
993,399,902.982,589,1498
994,77,722.558,651,808
995,185,808.503,608,1201
996,227,837.079,557,1444
997,37,723.757,684,788
998,4,753.000,741,766
999,146,752.418,596,945
1000,8,724.500,647,783
1001,118,830.059,582,1186
1002,71,782.028,611,993
1003,9,713.556,661,741
1004,31,766.806,668,834
1005,26,738.962,674,809
1006,22,714.364,637,765
1007,93,739.538,630,836
1008,825,1069.062,574,2502
1009,22,729.682,690,777
1010,1218,1101.610,617,2561
1011,7,729.286,698,752
1012,37,749.595,679,952
1013,69,712.580,619,811
1014,43,732.512,663,836
1015,70,786.343,627,952
1016,59,765.780,633,966
1017,1753,820.283,589,1401
1018,3,767.000,744,803
1019,3,728.333,714,755
1020,9,708.000,681,740
1021,516,743.422,603,1007
1022,112,763.018,585,988
1023,71,712.000,625,803
1024,46,751.804,666,858
1025,27,745.519,690,782
1026,1153,801.851,580,1312
1027,52,718.058,651,776
1028,618,795.401,569,1218
1029,2,740.000,731,749
1030,391,750.706,606,1092
1031,124,761.548,626,965
1032,376,853.596,586,1669
1033,1,715.000,715,715
1034,33,702.939,660,745
1035,6,722.167,675,764
1036,147,725.469,613,828
1037,1503,1017.913,438,2877
1038,484,804.461,599,1389
1039,179,822.637,535,1310
1040,104,712.510,633,818
1041,338,839.973,591,1336
1042,95,751.926,579,962
1043,240,715.708,628,902
1044,2393,929.247,532,2072
1045,388,738.317,620,960
1046,843,894.845,556,2327
1047,15,744.933,675,809
1048,80,726.900,603,857
1049,164,886.939,585,1221
1050,127,742.787,598,1066
1051,15,744.000,680,809
1052,39,731.872,671,784
1053,142,882.613,578,1214
1054,195,811.195,602,981
1055,98,730.857,592,831
